Rank,Block_name,Suspiciousness Value(Ochiai)
4,mat.inl_end_1230,NaN
4,test_countnonzero.cpp_run_186,NaN
4,test_countnonzero.cpp_get_count_non_zero_146,0
4,test_countnonzero.cpp_generate_src_stat_data_131,0
4,test_dxt.cpp_all_877,0
4,dxt.cpp_colDft_2924,0
4,downhill_simplex.cpp_tryNewPoint_420,0
4,test_countnonzero.cpp_if _121,NaN
4,downhill_simplex.cpp_replacePoint_437,0
4,datastructs.cpp_icvInitMemStorage_90,0
4,array.cpp_)_3212,NaN
4,ptr.inl_reset_185,NaN
4,dxt.cpp_CopyColumn_1339,0
4,dxt.cpp_CopyFrom2Columns_1376,0
4,dxt.cpp_CopyTo2Columns_1422,0
4,dxt.cpp_ExpandCCS_1466,0
4,ptr.inl_release_176,NaN
4,test_downhill_simplex.cpp_calc_78,NaN
4,test_downhill_simplex.cpp_getDims_77,NaN
4,test_downhill_simplex.cpp_calc_72,NaN
4,test_downhill_simplex.cpp_getDims_71,NaN
4,test_downhill_simplex.cpp_mytest_47,NaN
4,matrix.cpp_transpose_3615,0
4,matrix.cpp_ _3596,NaN
4,matrix.cpp_ipp_transpose_3546,0
4,matrix.cpp_transpose__3369,NaN
4,dxt.cpp_Dft_C_IPPLoop_1715,0
4,dxt.cpp_Dft_R_IPPLoop_1723,0
4,dxt.cpp_ippi_DFT_C_32F_1754,0
4,dxt.cpp_ippi_DFT_R_32F_1810,0
4,downhill_simplex.cpp_create_457,NaN
4,dxt.cpp_OcvDftImpl_2648,0
4,test_countnonzero.cpp_if _122,NaN
4,test_countnonzero.cpp_if _120,NaN
4,datastructs.cpp_icvDestroyMemStorage_133,0
4,test_eigen.cpp_check_full_374,0
4,matrix.cpp_completeSymm_3663,0
4,rand.cpp_randnScale_16s_487,NaN
4,test_eigen.cpp_check_pair_count_172,0
4,rand.cpp_randnScale_16u_483,NaN
4,test_ds.cpp_clear_515,0.0698430295769578
5,test_eigen.cpp_check_orthogonality_228,0
5,test_eigen.cpp_check_pairs_order_251,0
5,test_eigen.cpp_test_pairs_291,0
5,test_eigen.cpp_test_values_345,0
5,rand.cpp_randnScale_8s_479,NaN
5,rand.cpp_randnScale_8u_475,NaN
5,rand.cpp_randnScale__441,0
5,rand.cpp_randn_0_1_32f_357,0
5,mat.inl_clone_762,0
5,matop.cpp_zeros_1710,0
5,lda.cpp_alloc_2d_281,0
5,lda.cpp_hqr2_317,0
5,operations.hpp_randu_362,0
5,test_conjugate_gradient.cpp_getGradient_79,NaN
5,test_conjugate_gradient.cpp_calc_76,NaN
5,test_conjugate_gradient.cpp_calc_64,0
5,test_conjugate_gradient.cpp_getDims_63,0
5,test_conjugate_gradient.cpp_mytest_45,0
5,stat.cpp_CV_Assert_3282,NaN
5,matrix.cpp_setIdentity_3284,0
5,matrix.cpp_needed_2921,0
5,matop.cpp_eye_1755,0
5,rand.cpp_randnScale_32s_491,NaN
5,test_countnonzero.cpp_if _119,NaN
5,test_countnonzero.cpp_if _118,NaN
5,test_countnonzero.cpp_if _117,NaN
5,test_countnonzero.cpp_if _116,NaN
5,test_countnonzero.cpp_generate_src_data_105,NaN
5,test_countnonzero.cpp_float>_99,NaN
5,test_countnonzero.cpp_int>_98,NaN
5,test_countnonzero.cpp_short>_97,NaN
5,test_countnonzero.cpp_ushort>_96,NaN
5,test_countnonzero.cpp_uchar>_95,NaN
5,test_countnonzero.cpp_uchar>_94,NaN
5,test_countnonzero.cpp_switch _93,NaN
5,test_countnonzero.cpp_generate_src_data_86,0
5,lapack.cpp_eigen_1388,0
5,stat.cpp_countNonZero32s_599,NaN
5,stat.cpp_countNonZero16u_548,NaN
5,matmul.cpp_gemmImpl_898,0
5,matmul.cpp_callGemmImpl_1446,0
5,matmul.cpp_gemm_1542,0
5,stat.cpp_countNonZero8u_494,NaN
5,matmul.cpp_mulTransposed_2881,0
5,rand.cpp_randnScale_64f_499,NaN
5,rand.cpp_randnScale_32f_495,NaN
5,datastructs.cpp_cvCreateMemStorage_109,0
5,datastructs.cpp_cvReleaseMemStorage_181,0
5,test_ds.cpp_test_get_seq_reading_647,0
5,datastructs.cpp_cvGraphVtxDegreeByPtr_2917,0
5,test_ds.cpp_cvTsReleaseSimpleGraph_202,0
5,test_ds.cpp_cvTsSimpleGraphRemoveVertex_218,0
5,test_ds.cpp_cvTsSimpleGraphAddEdge_233,0
5,test_ds.cpp_cvTsSimpleGraphVertexDegree_288,0
5,test_ds.cpp_read_params_387,NaN
5,test_ds.cpp_test_graph_ops_1457,0
5,test_ds.cpp_Core_DynStructBaseTest_365,NaN
5,test_ds.cpp_Core_DynStructBaseTest_350,NaN
5,test_ds.cpp_cvTsSimpleSeqShiftAndCopy_46,0
5,persistence.cpp_cvGetFileNodeByName_852,0
5,datastructs.cpp_cvCreateChildMemStorage_119,0
5,datastructs.cpp_icvSeqElemsClearFlags_2969,0
5,datastructs.cpp_icvSeqFindNextElem_2997,0
5,datastructs.cpp_cvCreateGraphScanner_3049,0
5,datastructs.cpp_cvReleaseGraphScanner_3083,0
5,datastructs.cpp_cvNextGraphItem_3098,0
5,datastructs.cpp_cvSeqInsertSlice_1753,0
5,test_ds.cpp_create_random_graph_1888,0
5,datastructs.cpp_cvSeqRemoveSlice_1679,0
5,datastructs.cpp_cvSeqSlice_1603,0
5,datastructs.cpp_cvClearSeq_1594,0
5,datastructs.cpp_cvSeqPopMulti_1524,0
5,datastructs.cpp_cvSeqPushMulti_1455,0
5,datastructs.cpp_cvGraphVtxDegree_2937,0
5,datastructs.cpp_cvGraphRemoveEdge_2900,0
5,datastructs.cpp_cvSeqRemove_1369,0
5,datastructs.cpp_cvGraphRemoveEdgeByPtr_2841,0
5,datastructs.cpp_cvCvtSeqToArray_545,0
5,datastructs.cpp_cvSeqSort_1907,0
5,datastructs.cpp_cvSeqSearch_2188,0
5,datastructs.cpp_cvSeqInvert_2293,0
5,test_ds.cpp_test_get_seq_elem_603,0
5,test_ds.cpp_test_multi_create_523,0
5,datastructs.cpp_cvCreateSet_2484,0
5,datastructs.cpp_cvSetAdd_2502,0
5,datastructs.cpp_cvSetRemove_2549,0
5,datastructs.cpp_cvClearSet_2562,0
5,test_ds.cpp_cvTsCreateSimpleSet_107,0
5,test_ds.cpp_test_seq_block_consistence_451,0
5,test_ds.cpp_test_set_ops_1241,0
5,test_ds.cpp_update_progressbar_424,0
5,datastructs.cpp_cvCreateGraph_2577,0
5,datastructs.cpp_cvClearGraph_2603,0
5,datastructs.cpp_cvGraphAddVtx_2615,0
5,datastructs.cpp_cvGraphRemoveVtxByPtr_2641,0
5,datastructs.cpp_cvGraphRemoveVtx_2668,0
5,datastructs.cpp_cvFindGraphEdgeByPtr_2701,0
5,datastructs.cpp_cvFindGraphEdge_2733,0
5,datastructs.cpp_cvGraphAddEdgeByPtr_2756,0
5,datastructs.cpp_cvGraphAddEdge_2824,0
5,utility.hpp_deleteDataInstance_714,0
5,trace.private_getCurrentRegion_346,0
5,datastructs.cpp_cvClearMemStorage_198,0
5,dxt.cpp_ippi_DCT_32f_3951,0
5,datastructs.cpp_cvFlushSeqWriter_848,0
5,dxt.cpp_apply_4112,0
5,datastructs.cpp_cvStartWriteSeq_836,0
5,datastructs.cpp_cvStartAppendToSeq_818,0
5,datastructs.cpp_icvFreeSeqBlock_758,0
5,datastructs.cpp_icvGrowSeq_633,0
5,matrix.cpp_iplImageToMat_694,0
5,matrix.cpp_cvarrToMat_953,0
5,datastructs.cpp_cvMakeSeqHeaderForArray_586,0
5,parallel.cpp_ParallelLoopBody_132,0
5,datastructs.cpp_cvSeqElemIdx_482,0
5,parallel.cpp_parallel_for__373,0
5,parallel.cpp_parallel_for_impl_413,0
5,datastructs.cpp_cvGetSeqElem_443,0
5,datastructs.cpp_cvSetSeqBlockSize_410,0
5,datastructs.cpp_cvCreateSeq_373,0
5,persistence.cpp_cvRelease_6664,0
5,datastructs.cpp_cvMemStorageAlloc_324,0
5,test_dxt.cpp_initDCTWave_138,0
5,test_dxt.cpp_DCT_1D_159,0
5,datastructs.cpp_cvRestoreMemStoragePos_286,0
5,datastructs.cpp_cvSaveMemStoragePos_274,0
5,datastructs.cpp_icvGoNextMemBlock_216,0
5,datastructs.cpp_cvEndWriteSeq_879,0
5,dxt.cpp_DctIPPLoop_3944,0
5,array.cpp_cvCreateMat_98,0
5,datastructs.cpp_cvCreateSeqBlock_910,NaN
5,datastructs.cpp_cvSeqInsert_1251,0
5,array.cpp_cvReleaseMat_188,0
5,datastructs.cpp_cvSeqPopFront_1226,0
5,array.cpp_cvReleaseData_979,0
5,array.cpp_cvGetElemType_1084,0
5,datastructs.cpp_cvSeqPushFront_1192,0
5,array.cpp_cvCreateImageHeader_2873,0
5,datastructs.cpp_cvSeqPop_1164,0
5,array.cpp_cvInitImageHeader_2914,0
5,array.cpp_cvReleaseImageHeader_2970,0
5,datastructs.cpp_cvSeqPush_1133,0
5,datastructs.cpp_cvSetSeqReaderPos_1040,0
5,dxt.cpp_DFTFactorize_133,0
5,dxt.cpp_DFTInit_177,0
5,dxt.cpp_DFT_575,0
5,dxt.cpp_RealDFT_1025,0
5,dxt.cpp_CCSIDFT_1162,0
5,dxt.cpp_DCT_3608,0
5,dxt.cpp_IDCT_3651,0
5,dxt.cpp_DCTInit_3690,0
5,datastructs.cpp_cvGetSeqReaderPos_1015,0
5,datastructs.cpp_cvChangeSeqBlock_991,0
5,datastructs.cpp_cvStartReadSeq_933,0
5,lda.cpp_if _366,NaN
5,lda.cpp_if _386,NaN
5,lda.cpp_if _387,NaN
5,persistence.cpp_icvYMLParseKey_1426,0
5,persistence.cpp_icvYMLWriteInt_2105,NaN
5,persistence.cpp_icvYMLEndWriteStruct_2053,NaN
5,persistence.cpp_if_2022,NaN
5,persistence.cpp_icvYMLStartWriteStruct_2000,NaN
5,persistence.cpp_max_4764,0.0851256530758749
6,persistence.cpp_cvFindType_6633,0.0698430295769578
7,persistence.cpp_icvYMLWrite_1891,0
